accident_index,accident_year,accident_severity,number_of_vehicles,number_of_casualties,junction_control,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,road_type,date,time,day_of_week,longitude,latitude,geometry,MSOA11CD,LAD11CD,LAD11NM
2023010419338,2023,3,1,1,2,6,5,1,1,2,0,6,02/01/2023,14:40,2,-0.375798,51.51089,POINT (-41833.642001130625 6712166.690629949),E02000260,E09000009,Ealing
2023010419340,2023,3,1,1,-1,0,1,1,1,1,0,6,02/01/2023,14:54,2,-0.255299,51.494889,POINT (-28419.75468003195 6709305.173756499),E02000526,E09000018,Hounslow
2023010419343,2023,3,2,1,4,6,0,1,1,1,0,6,02/01/2023,11:40,2,0.202925,51.545612,POINT (22589.50766922504 6718379.610468169),E02000486,E09000016,Havering
2023010419349,2023,3,2,2,2,3,5,4,2,2,0,6,01/01/2023,18:20,1,-0.117292,51.587751,POINT (-13056.885714124643 6725926.049907553),E02000416,E09000014,Haringey
2023010419352,2023,3,2,1,4,9,8,4,1,1,0,6,02/01/2023,17:40,2,-0.311814,51.562709,POINT (-34710.9757022138 6721440.574101079),E02000105,E09000005,Brent
2023010419373,2023,3,2,1,2,1,9,1,1,1,0,1,02/01/2023,12:25,2,-0.255994,51.621511,POINT (-28497.121726133275 6731976.992457656),E02000036,E09000003,Barnet
2023010419376,2023,3,2,1,2,6,5,4,1,1,0,6,02/01/2023,19:15,2,-0.378319,51.507256,POINT (-42114.278437420464 6711516.721037089),E02000263,E09000009,Ealing
2023010419379,2023,3,2,2,-1,0,1,4,2,2,0,6,01/01/2023,18:50,1,-0.292161,51.556633,POINT (-32523.213749653598 6720352.624855676),E02000112,E09000005,Brent
2023010419381,2023,3,1,1,4,2,0,1,8,1,0,1,02/01/2023,15:45,2,0.154097,51.438217,POINT (17153.999572771078 6699178.385606713),E02000087,E09000004,Bexley
2023010419383,2023,2,1,2,4,1,0,4,1,1,0,3,02/01/2023,18:14,2,0.120906,51.450432,POINT (13459.194353851533 6701360.03573723),E02000084,E09000004,Bexley
2023010419385,2023,3,1,1,4,3,0,4,1,1,0,6,02/01/2023,20:15,2,0.019754,51.548828,POINT (2199.0052211303264 6718955.299604453),E02000719,E09000025,Newham
2023010419387,2023,3,2,1,4,8,0,4,1,1,0,6,02/01/2023,19:39,2,-0.041672,51.668058,POINT (-4638.905820337296 6740327.188194743),E02000282,E09000010,Enfield
2023010419389,2023,3,2,1,-1,0,0,6,8,1,0,6,02/01/2023,19:57,2,0.032131,51.522319,POINT (3576.806558678673 6714211.195523647),E02000741,E09000025,Newham
2023010419391,2023,2,2,1,2,7,4,4,1,1,0,3,03/01/2023,00:15,3,-0.152921,51.543913,POINT (-17023.087851598186 6718075.492615012),E02000177,E09000007,Camden
2023010419392,2023,3,1,1,4,3,1,1,1,1,0,2,02/01/2023,18:00,2,-0.043111,51.643721,POINT (-4799.094567588817 6735960.236784227),E02000288,E09000010,Enfield
2023010419393,2023,2,2,2,4,3,0,4,1,1,0,6,02/01/2023,22:20,2,-0.383152,51.502225,POINT (-42652.28553642435 6710616.972521281),E02000274,E09000009,Ealing
2023010419397,2023,2,1,1,2,3,1,4,1,1,0,3,02/01/2023,20:14,2,-0.181893,51.485294,POINT (-20248.23613886091 6707589.746833608),E02000596,E09000020,Kensington and Chelsea
2023010419398,2023,3,2,1,4,6,0,4,1,1,0,6,02/01/2023,22:20,2,-0.177466,51.554377,POINT (-19755.42475311909 6719948.709667463),E02000169,E09000007,Camden
2023010419400,2023,3,2,1,4,9,0,4,1,1,0,6,02/01/2023,17:50,2,-0.166168,51.458647,POINT (-18497.737146136682 6702827.597418556),E02000930,E09000032,Wandsworth
2023010419402,2023,3,2,2,-1,0,0,4,1,1,0,3,03/01/2023,02:50,3,-0.051242,51.619595,POINT (-5704.233347228925 6731633.45950067),E02000306,E09000010,Enfield
2023010419403,2023,2,3,1,-1,0,0,4,1,1,0,6,03/01/2023,00:51,3,-0.098976,51.577978,POINT (-11017.957920755045 6724175.234535965),E02000427,E09000014,Haringey
2023010419404,2023,3,1,1,-1,0,0,4,1,2,0,6,03/01/2023,03:57,3,0.129722,51.567386,POINT (14440.586984685035 6722278.121873751),E02000003,E09000002,Barking and Dagenham
2023010419407,2023,3,1,1,-1,0,0,4,1,1,0,6,02/01/2023,23:49,2,-0.125,51.53936,POINT (-13914.936349159196 6717260.5700312825),E02000187,E09000007,Camden
2023010419411,2023,3,2,1,2,1,9,1,1,1,0,1,01/01/2023,14:11,1,-0.013605,51.529686,POINT (-1514.501672242487 6715529.331500194),E02000871,E09000030,Tower Hamlets
2023010419412,2023,3,1,1,4,9,1,4,8,2,2,6,03/01/2023,06:20,3,-0.339389,51.608522,POINT (-37780.61066083833 6729648.388442987),E02000437,E09000015,Harrow
2023010419418,2023,3,2,1,9,99,9,1,9,1,9,9,02/01/2023,14:27,2,-0.298612,51.510129,POINT (-33241.33578476101 6712030.575479731),E02000268,E09000009,Ealing
2023010419419,2023,3,2,1,2,6,5,1,9,1,0,2,03/01/2023,07:45,3,-0.129717,51.488655,POINT (-14440.030387231067 6708190.596830258),E02000983,E09000033,Westminster
2023010419429,2023,3,2,1,9,99,9,4,1,1,9,9,02/01/2023,19:30,2,-0.09185,51.421985,POINT (-10224.695229362178 6696280.185049822),E02000194,E09000008,Croydon
2023010419437,2023,2,1,1,2,8,5,1,2,2,0,3,03/01/2023,12:15,3,-0.017164,51.432778,POINT (-1910.6877399757475 6698207.145169641),E02000682,E09000023,Lewisham
2023010419438,2023,3,2,1,-1,0,9,1,2,1,0,9,03/01/2023,11:17,3,-0.172271,51.482429,POINT (-19177.11999844803 6707077.602316135),E02000595,E09000020,Kensington and Chelsea
2023010419440,2023,3,1,1,9,99,9,1,1,1,9,9,02/01/2023,10:20,2,-0.444927,51.567992,POINT (-49529.04708017883 6722386.64944228),E02000504,E09000017,Hillingdon
2023010419443,2023,2,2,1,4,3,0,1,1,2,0,2,03/01/2023,12:31,3,-0.193801,51.534577,POINT (-21573.82863522721 6716404.568504934),E02000126,E09000005,Brent
2023010419447,2023,2,2,1,4,1,0,1,8,2,0,1,03/01/2023,12:49,3,0.055231,51.606304,POINT (6148.286796003293 6729250.822917026),E02000755,E09000026,Redbridge
2023010419457,2023,3,2,1,9,99,9,1,9,9,9,9,03/01/2023,12:20,3,-0.097683,51.357332,POINT (-10874.021819159343 6684746.687452886),E02000222,E09000008,Croydon
2023010419463,2023,3,3,1,2,6,5,4,1,1,0,6,01/01/2023,16:28,1,-0.093829,51.476378,POINT (-10444.996501642065 6705996.037373033),E02000827,E09000028,Southwark
2023010419480,2023,3,2,1,4,1,0,1,2,2,0,1,03/01/2023,09:00,3,-0.330178,51.455945,POINT (-36755.246831141485 6702344.87178084),E02000794,E09000027,Richmond upon Thames
2023010419481,2023,3,2,1,4,3,0,1,2,2,0,6,03/01/2023,14:20,3,-0.106484,51.38216,POINT (-11853.744657630941 6689173.845931757),E02000212,E09000008,Croydon
2023010419490,2023,3,1,1,4,6,1,4,1,2,0,6,03/01/2023,16:30,3,-0.165229,51.554142,POINT (-18393.208144281798 6719906.636320783),E02000171,E09000007,Camden
2023010419494,2023,3,2,1,4,3,0,4,2,2,0,7,03/01/2023,17:35,3,-0.220291,51.561096,POINT (-24522.681946341025 6721151.741276419),E02000107,E09000005,Brent
2023010419499,2023,3,2,1,2,6,0,4,2,2,0,3,03/01/2023,18:23,3,-0.186045,51.490628,POINT (-20710.43466463458 6708543.333036316),E02000593,E09000020,Kensington and Chelsea
2023010419502,2023,3,2,1,-1,0,5,4,1,2,0,6,03/01/2023,17:05,3,-0.06389,51.498144,POINT (-7112.202266782248 6709887.195814512),E02000810,E09000028,Southwark
2023010419503,2023,3,3,1,4,8,0,4,2,2,0,6,03/01/2023,16:41,3,-0.013197,51.635332,POINT (-1469.0833199988315 6734455.485419681),E02000895,E09000031,Waltham Forest
2023010419504,2023,3,2,1,4,3,0,1,1,2,0,6,02/01/2023,15:58,2,-0.093496,51.39453,POINT (-10407.927111207906 6691380.475781483),E02000206,E09000008,Croydon
2023010419511,2023,3,1,1,4,3,8,4,2,2,0,6,03/01/2023,19:18,3,-0.290122,51.56253,POINT (-32296.23330792611 6721408.520851974),E02000104,E09000005,Brent
2023010419514,2023,3,2,3,4,6,0,4,2,2,0,6,03/01/2023,19:58,3,-0.093703,51.428265,POINT (-10430.970245802113 6697401.348020508),E02000648,E09000022,Lambeth
2023010419518,2023,3,2,1,9,99,0,4,1,1,0,6,02/01/2023,20:55,2,-0.058071,51.651487,POINT (-6464.43414985619 6737353.487602076),E02000288,E09000010,Enfield
2023010419522,2023,3,2,1,9,99,4,4,2,2,0,6,03/01/2023,19:00,3,-0.150331,51.361089,POINT (-16734.770370443606 6685416.4557772195),E02000856,E09000029,Sutton
2023010419523,2023,3,2,1,-1,0,0,4,2,2,0,6,03/01/2023,18:27,3,-0.262462,51.513367,POINT (-29217.136192584167 6712609.75135183),E02000262,E09000009,Ealing
2023010419525,2023,3,2,1,4,3,0,4,1,2,0,6,03/01/2023,17:04,3,-0.299886,51.509221,POINT (-33383.15681603164 6711868.170364662),E02000268,E09000009,Ealing
2023010419526,2023,3,1,1,4,3,0,4,2,2,0,6,03/01/2023,20:52,3,-0.080931,51.403821,POINT (-9009.197709390424 6693038.248780397),E02000200,E09000008,Croydon
2023010419528,2023,3,2,1,2,6,5,4,5,2,2,9,03/01/2023,20:25,3,-0.378777,51.470385,POINT (-42165.26276420378 6704924.980850339),E02000542,E09000018,Hounslow
2023010419529,2023,2,1,1,4,8,0,4,2,2,0,6,03/01/2023,20:45,3,-0.354326,51.470872,POINT (-39443.38989481745 6705012.0112274755),E02000540,E09000018,Hounslow
2023010419532,2023,3,1,1,4,8,1,4,2,2,0,6,03/01/2023,16:43,3,-0.054394,51.446738,POINT (-6055.112382209322 6700700.210317882),E02000673,E09000023,Lewisham
2023010419533,2023,3,2,1,2,6,0,4,1,2,0,6,03/01/2023,21:10,3,-0.300912,51.607081,POINT (-33497.37061358554 6729390.09411239),E02000434,E09000015,Harrow
2023010419537,2023,1,1,1,4,3,1,4,2,2,0,6,03/01/2023,19:12,3,-0.097759,51.356551,POINT (-10882.48210045963 6684607.463830023),E02000222,E09000008,Croydon
2023010419543,2023,3,3,1,4,3,4,4,1,2,0,6,04/01/2023,00:27,4,-0.048148,51.623689,POINT (-5359.810842714536 6732367.518832314),E02000301,E09000010,Enfield
2023010419544,2023,3,2,1,2,6,0,4,1,1,0,7,04/01/2023,02:50,4,-0.19531,51.539798,POINT (-21741.80974683426 6717338.96229006),E02000185,E09000007,Camden
2023010419546,2023,3,2,1,4,3,5,4,8,2,0,6,03/01/2023,18:45,3,-0.238618,51.506438,POINT (-26562.83425410935 6711370.422426322),E02000377,E09000013,Hammersmith and Fulham
2023010419547,2023,2,1,1,4,3,5,4,1,2,0,6,03/01/2023,23:07,3,-0.130961,51.464575,POINT (-14578.511833777899 6703886.764012534),E02000629,E09000022,Lambeth
2023010419551,2023,3,3,1,-1,0,0,4,2,2,0,6,04/01/2023,03:40,4,-0.09854,51.621953,POINT (-10969.422622769178 6732056.243768803),E02000302,E09000010,Enfield
2023010419552,2023,3,2,1,4,9,1,4,1,2,0,6,04/01/2023,06:20,4,-0.397604,51.475887,POINT (-44261.074817368746 6705908.281580018),E02000541,E09000018,Hounslow
2023010419555,2023,3,2,1,4,6,0,4,2,2,0,6,04/01/2023,07:45,4,-0.10219,51.362981,POINT (-11375.738764164626 6685753.76741276),E02000220,E09000008,Croydon
2023010419559,2023,3,1,1,4,9,0,1,1,2,0,6,04/01/2023,08:00,4,-0.267744,51.382749,POINT (-29805.12574295424 6689278.901524748),E02000614,E09000021,Kingston upon Thames
2023010419565,2023,3,2,1,4,3,0,4,1,2,0,6,03/01/2023,17:39,3,-0.316227,51.601816,POINT (-35202.228615084525 6728446.430528454),E02000440,E09000015,Harrow
2023010419575,2023,3,2,1,9,99,9,4,1,2,9,9,03/01/2023,18:20,3,-0.20849,51.551186,POINT (-23209.000635489607 6719377.425892483),E02000170,E09000007,Camden
2023010419577,2023,3,1,1,4,8,0,5,2,2,0,6,04/01/2023,07:20,4,0.12437,51.414677,POINT (13844.805069959433 6694975.688061687),E02000092,E09000004,Bexley
2023010419579,2023,3,2,1,2,3,5,4,2,2,0,2,03/01/2023,17:40,3,-0.037956,51.646962,POINT (-4225.242592549491 6736541.655860786),E02000290,E09000010,Enfield
2023010419585,2023,3,2,2,9,99,9,1,2,2,9,7,03/01/2023,12:20,3,0.069614,51.5583,POINT (7749.395032082945 6720651.09810798),E02000782,E09000026,Redbridge
2023010419586,2023,3,2,1,4,3,1,1,1,1,0,3,04/01/2023,08:30,4,-0.098101,51.439442,POINT (-10920.553366310929 6699397.149409877),E02000645,E09000022,Lambeth
2023010419587,2023,3,1,1,4,1,0,1,2,2,0,6,04/01/2023,07:00,4,-0.252345,51.512614,POINT (-28090.916904228616 6712475.059774721),E02000261,E09000009,Ealing
2023010419594,2023,3,2,1,-1,0,8,1,5,2,0,6,04/01/2023,08:30,4,0.019461,51.54547,POINT (2166.388610327897 6718354.192296298),E02000722,E09000025,Newham
2023010419599,2023,3,2,1,4,3,0,1,1,1,0,6,04/01/2023,07:54,4,-0.024125,51.444514,POINT (-2685.582715387725 6700302.9832902895),E02000672,E09000023,Lewisham
2023010419601,2023,3,1,1,1,9,0,1,1,1,2,6,04/01/2023,13:20,4,-0.02304,51.477625,POINT (-2564.8010678770233 6706218.916311417),E02006798,E09000023,Lewisham
2023010419604,2023,2,1,1,2,6,5,1,1,1,7,6,04/01/2023,12:35,4,-0.07011,51.54053,POINT (-7804.60949951641 6717469.9756942885),E02000364,E09000012,Hackney
2023010419605,2023,3,1,1,4,3,8,1,1,1,0,6,04/01/2023,13:20,4,0.107822,51.562818,POINT (12002.690136312343 6721460.0926218415),E02006800,E09000026,Redbridge
2023010419606,2023,3,2,1,4,5,5,1,2,2,0,7,04/01/2023,10:10,4,-0.143073,51.547049,POINT (-15926.81350626603 6718636.839670789),E02000172,E09000007,Camden
2023010419609,2023,3,2,1,2,6,4,1,1,2,0,6,04/01/2023,10:45,4,0.201172,51.538891,POINT (22394.36460186443 6717176.6302983835),E02000489,E09000016,Havering
2023010419611,2023,3,2,1,4,3,0,1,1,1,0,9,03/01/2023,15:30,3,-0.12099,51.610768,POINT (-13468.54519107817 6730050.992623942),E02000312,E09000010,Enfield
2023010419622,2023,2,1,1,2,6,5,1,1,1,0,6,04/01/2023,14:30,4,-0.184304,51.484054,POINT (-20516.62743116349 6707368.0817317525),E02000596,E09000020,Kensington and Chelsea
2023010419624,2023,3,2,1,4,3,0,1,1,1,0,6,04/01/2023,14:20,4,-0.041818,51.512921,POINT (-4655.158465993115 6712529.973601746),E02000888,E09000030,Tower Hamlets
2023010419625,2023,3,2,1,4,3,0,1,1,1,0,6,04/01/2023,13:01,4,-0.284598,51.562476,POINT (-31681.304440784075 6721398.851181486),E02000104,E09000005,Brent
2023010419642,2023,3,2,2,-1,0,0,4,1,2,0,3,04/01/2023,16:25,4,0.116616,51.394682,POINT (12981.63373834839 6691407.594102937),E02000145,E09000006,Bromley
2023010419645,2023,3,5,4,-1,0,0,1,1,1,0,6,04/01/2023,15:23,4,0.03245,51.367449,POINT (3612.3174762417275 6686550.391640377),E02000160,E09000006,Bromley
2023010419649,2023,3,2,1,-1,0,9,5,1,1,0,3,04/01/2023,15:50,4,0.166528,51.526011,POINT (18537.81216282226 6714871.7577107465),E02000491,E09000016,Havering
2023010419651,2023,3,2,1,4,3,0,1,1,1,0,6,04/01/2023,16:10,4,-0.026049,51.572961,POINT (-2899.7614156739833 6723276.594252409),E02000912,E09000031,Waltham Forest
2023010419657,2023,3,2,1,4,3,0,4,1,2,0,6,04/01/2023,17:26,4,-0.147678,51.410453,POINT (-16439.439761369056 6694221.788186333),E02000702,E09000024,Merton
2023010419658,2023,3,1,1,2,7,5,4,1,2,0,6,04/01/2023,18:30,4,-0.133059,51.463601,POINT (-14812.060125462189 6703712.728206789),E02000632,E09000022,Lambeth
2023010419665,2023,3,2,3,4,3,0,1,1,1,0,6,04/01/2023,15:00,4,-0.178648,51.362747,POINT (-19887.004391236736 6685712.048410966),E02000852,E09000029,Sutton
2023010419667,2023,3,2,1,4,6,0,4,1,1,0,6,04/01/2023,19:15,4,-0.067382,51.518102,POINT (-7500.929928632359 6713456.767338529),E02000878,E09000030,Tower Hamlets
2023010419671,2023,2,1,1,2,7,5,4,1,1,0,3,04/01/2023,18:40,4,-0.221654,51.608263,POINT (-24674.410412292258 6729601.962972827),E02000048,E09000003,Barnet
2023010419672,2023,2,1,1,4,3,0,4,1,1,0,6,04/01/2023,18:00,4,-0.052804,51.490874,POINT (-5878.1143918480175 6708587.314393841),E02000817,E09000028,Southwark
2023010419676,2023,3,2,1,4,6,9,5,8,2,0,9,04/01/2023,16:50,4,-0.129337,51.414487,POINT (-14397.728980729624 6694941.775349544),E02000651,E09000022,Lambeth
2023010419677,2023,3,2,1,9,99,9,1,9,1,9,9,02/01/2023,13:30,2,-0.298885,51.505898,POINT (-33271.72600574757 6711273.845320518),E02000268,E09000009,Ealing
2023010419678,2023,3,6,1,4,2,4,4,1,1,0,6,04/01/2023,19:21,4,0.001447,51.62396,POINT (161.07930317786685 6732416.111809178),E02000898,E09000031,Waltham Forest
2023010419685,2023,2,1,1,-1,0,0,4,1,1,2,2,04/01/2023,17:17,4,-0.103319,51.329033,POINT (-11501.418469270231 6679703.529229121),E02000233,E09000008,Croydon
2023010419687,2023,3,1,1,-1,0,1,1,2,2,0,6,03/01/2023,07:24,3,-0.33713,51.513748,POINT (-37529.13993113632 6712677.902918399),E02000259,E09000009,Ealing
2023010419688,2023,3,2,1,4,3,1,4,1,1,0,6,04/01/2023,18:50,4,0.157234,51.539851,POINT (17503.20881538958 6717348.448162499),E02000015,E09000002,Barking and Dagenham
2023010419691,2023,3,2,1,-1,0,0,4,2,2,0,6,04/01/2023,18:50,4,-0.39229,51.442318,POINT (-43669.52304329329 6699910.776303758),E02000551,E09000018,Hounslow
2023010419692,2023,3,1,2,4,3,1,1,1,1,0,6,04/01/2023,15:23,4,-0.09155,51.559909,POINT (-10191.299382124196 6720939.196943984),E02000352,E09000012,Hackney
2023010419703,2023,3,2,2,4,1,0,4,1,1,0,1,04/01/2023,23:43,4,0.018536,51.605682,POINT (2063.418081344119 6729139.335981537),E02000751,E09000026,Redbridge
2023010419706,2023,3,2,2,4,1,1,4,1,1,0,1,04/01/2023,21:30,4,-0.222844,51.391437,POINT (-24806.880606336254 6690828.673191871),E02000709,E09000024,Merton
2023010419707,2023,3,1,1,2,6,0,4,1,1,0,6,04/01/2023,23:30,4,-0.13861,51.541547,POINT (-15429.994618855651 6717652.001913533),E02000184,E09000007,Camden
2023010419709,2023,3,1,1,4,3,0,4,1,1,0,6,04/01/2023,20:45,4,-0.398282,51.553103,POINT (-44336.54943212659 6719720.621022763),E02006796,E09000017,Hillingdon
2023010419710,2023,3,2,1,2,7,5,4,4,1,0,3,05/01/2023,00:45,5,-0.05878,51.659934,POINT (-6543.359668828621 6738869.183532173),E02000281,E09000010,Enfield
2023010419711,2023,3,2,2,2,5,0,4,9,1,0,7,04/01/2023,07:40,4,0.032099,51.517392,POINT (3573.244334973289 6713329.754049809),E02000744,E09000025,Newham
2023010419713,2023,3,2,1,4,6,9,4,1,1,0,6,04/01/2023,16:40,4,0.036556,51.54396,POINT (4069.3953054389085 6718083.905375242),E02000727,E09000025,Newham
2023010419714,2023,3,1,1,4,6,4,4,1,1,0,3,04/01/2023,21:50,4,-0.066335,51.467259,POINT (-7384.378421771803 6704366.364449487),E02000831,E09000028,Southwark
2023010419716,2023,3,2,1,4,9,0,4,1,2,0,3,05/01/2023,07:00,5,-0.031514,51.679533,POINT (-3508.1224328592234 6742387.038415341),E02000277,E09000010,Enfield
2023010419718,2023,2,1,1,4,2,0,1,1,1,0,6,05/01/2023,08:15,5,-0.266494,51.506628,POINT (-29665.97637946265 6711404.403532054),E02000270,E09000009,Ealing
2023010419720,2023,3,2,1,2,6,5,1,1,2,0,6,04/01/2023,14:55,4,-0.24826,51.497374,POINT (-27636.1767843381 6709749.5094239395),E02000379,E09000013,Hammersmith and Fulham
2023010419727,2023,3,2,1,4,3,1,1,1,2,0,6,05/01/2023,07:25,5,-0.063738,51.438484,POINT (-7095.281704181672 6699226.066686628),E02000680,E09000023,Lewisham
2023010419729,2023,3,2,1,4,1,4,1,1,1,0,1,04/01/2023,14:20,4,-0.113127,51.504945,POINT (-12593.240034970659 6711103.4074057145),E02006801,E09000022,Lambeth
2023010419744,2023,2,1,1,4,3,5,1,1,1,0,6,05/01/2023,11:10,5,0.016452,51.401269,POINT (1831.428262530937 6692582.867404695),E02000144,E09000006,Bromley
2023010419750,2023,3,1,1,4,3,0,1,1,1,0,6,05/01/2023,10:56,5,0.258544,51.559959,POINT (28780.98642765612 6720948.1498368),E02000482,E09000016,Havering
